#station time x y
3 561.2 36.0547250456 36.6619122909
4 561.2 54.5149241098 52.4395481686
5 561.2 54.4898092431 52.3984586289
1 561.2 27.6940802532 75.481685797
2 561.4 52.1506491439 0.0141974087
3 561.4 36.0547250456 36.6619122909
4 561.4 54.49967667 52.4731203099
5 561.4 54.5118718202 52.4090617625
1 561.4 27.7070938852 75.3957891307
2 561.6 52.1506491439 0.0141974087
3 561.6 36.0547250456 36.6619122909
4 561.6 54.5169318315 52.4920659999
5 561.6 54.5265169976 52.4217267136
1 561.6 27.7217213149 75.3095485348
2 561.8 52.1506491439 0.0141974087
3 561.8 36.0547250456 36.6619122909
4 561.8 54.5460630785 52.4959370662
5 561.8 54.5134916896 52.4409500912
1 561.8 27.7375569139 75.2238072656
2 562.0 52.1506491439 0.0141974087
3 562.0 36.0547250456 36.6619122909
4 562.0 54.5792093065 52.4986351932
5 562.0 54.4992645539 52.4747787656
1 562.0 27.7537384652 75.1388774355
2 562.2 52.1506758552 0.0144720095
3 562.2 36.0547250456 36.6619122909
4 562.2 54.6164266994 52.5040118738
5 562.2 54.5154354176 52.494294552
1 562.2 27.7722126885 75.0546760949
2 562.4 52.1507801738 0.0152953322
3 562.4 36.0547250456 36.6619122909
4 562.4 54.6555469934 52.5104558966
5 562.4 54.5457479544 52.4978688903
1 562.4 27.790634294 74.9713032742
2 562.6 52.1501055183 0.0155838081
3 562.6 36.0547250456 36.6619122909
4 562.6 54.6943460135 52.51250463
5 562.6 54.5794177137 52.4980810921
1 562.6 27.8112856204 74.887835911
2 562.8 52.1499120378 0.0155876356
3 562.8 36.0547250456 36.6619122909
4 562.8 54.7255500451 52.5179937563
5 562.8 54.616098073 52.5015414568
1 562.8 27.8309298741 74.8044118902
2 563.0 52.1499120378 0.0155876356
3 563.0 36.0547250456 36.6619122909
4 563.0 54.7466082296 52.5220159141
5 563.0 54.6573499932 52.5024437413
1 563.0 27.8511008203 74.7226176621
2 563.2 52.1499120378 0.0155876356
3 563.2 36.0547250456 36.6619122909
4 563.2 54.7468146336 52.540997798
5 563.2 54.6953771823 52.5056071222
1 563.2 27.8702789004 74.6392143578
2 563.4 52.1499120378 0.0155876356
3 563.4 36.0547250456 36.6619122909
4 563.4 54.738310611 52.5771964786
5 563.4 54.7273803589 52.5160346091
1 563.4 27.8909003046 74.5563007227
2 563.6 52.1499120378 0.0155876356
3 563.6 36.0547250456 36.6619122909
4 563.6 54.7318552575 52.6205122227
5 563.6 54.7478894768 52.5195164041
1 563.6 27.9111605129 74.4728523288
2 563.8 52.1499120378 0.0155876356
3 563.8 36.0547250456 36.6619122909
4 563.8 54.7313971822 52.6477607309
5 563.8 54.7481218481 52.538772973
1 563.8 27.9303141819 74.3891760926
2 564.0 52.1499120378 0.0155876356
3 564.0 36.0547250456 36.6619122909
4 564.0 54.7383916393 52.6602914744
5 564.0 54.7401195231 52.5755128913
1 564.0 27.9500576427 74.3043740846
2 564.2 52.1499362229 0.015587157
3 564.2 36.0547250456 36.6619122909
4 564.2 54.7463636201 52.6623487676
5 564.2 54.7314413045 52.6191439312
1 564.2 27.9691456836 74.2196003277
2 564.4 52.1499120378 0.0155876356
3 564.4 36.0547250456 36.6619122909
4 564.4 54.7532144465 52.6605741953
5 564.4 54.7322661014 52.6469195723
1 564.4 27.9886503246 74.1356352025
2 564.6 52.1499120378 0.0155876356
3 564.6 36.0547250456 36.6619122909
4 564.6 54.7554937983 52.6613585265
5 564.6 54.7403701888 52.6619066687
1 564.6 28.0078387869 74.0522344979
2 564.8 52.1499120378 0.0155876356
3 564.8 36.0547250456 36.6619122909
4 564.8 54.7555884834 52.661356818
5 564.8 54.7479259204 52.6623205663
1 564.8 28.0247255708 73.9675552693
2 565.0 52.1499120378 0.0155876356
3 565.0 36.0547250456 36.6619122909
4 565.0 54.7545873782 52.6605494207
5 565.0 54.75394595 52.6602858413
1 565.0 28.0444240533 73.8860608085
2 565.2 52.1499120378 0.0155876356
3 565.2 36.0547250456 36.6619122909
4 565.2 54.7557022307 52.6608044578
5 565.2 54.7558465622 52.6610770076
1 565.2 28.0622142489 73.8029958157
2 565.4 52.1499362229 0.015587157
3 565.4 36.0547250456 36.6619122909
4 565.4 54.7549279931 52.6616438898
5 565.4 54.7558985137 52.6616263777
1 565.4 28.0797025875 73.7188428055
2 565.6 52.1499362229 0.015587157
3 565.6 36.0547250456 36.6619122909
4 565.6 54.754880651 52.661644744
5 565.6 54.7544256622 52.6638541844
1 565.6 28.0981887471 73.6351985406
2 565.8 52.149960408 0.015586679
3 565.8 36.0547250456 36.6619122909
4 565.8 54.754880651 52.661644744
5 565.8 54.7563742422 52.6618929479
1 565.8 28.118342623 73.5514841787
2 566.0 52.149960408 0.015586679
3 566.0 36.0547250456 36.6619122909
4 566.0 54.754880651 52.661644744
5 566.0 54.7556075456 52.6608061662
1 566.0 28.1363984313 73.4673083452
2 566.2 52.149960408 0.015586679
3 566.2 36.0547250456 36.6619122909
4 566.2 54.7549516646 52.6616434623
5 566.2 54.7554135673 52.6602593588
1 566.2 28.1527568662 73.3815528442
2 566.4 52.1499845931 0.0155862004
3 566.4 36.0547250456 36.6619122909
4 566.4 54.7549516646 52.6616434623
5 566.4 54.7554112627 52.6599842469
1 566.4 28.1698277152 73.2985204857
2 566.6 52.1499845931 0.0155862004
3 566.6 36.0547250456 36.6619122909
4 566.6 54.7549516646 52.6616434623
5 566.6 54.755484581 52.6602580778
1 566.6 28.186682867 73.218801046
2 566.8 52.1500087783 0.0155857218
3 566.8 36.0547250456 36.6619122909
4 566.8 54.7549516646 52.6616434623
5 566.8 54.7555555946 52.6602567961
1 566.8 28.2005435554 73.1408599951
2 567.0 52.1500087783 0.0155857218
3 567.0 36.0547250456 36.6619122909
4 567.0 54.7549516646 52.6616434623
5 567.0 54.7555555946 52.6602567961
1 567.0 28.2158444784 73.0620325807
2 567.2 52.1500087783 0.0155857218
3 567.2 36.0547250456 36.6619122909
4 567.2 54.7581818412 52.6657124882
5 567.2 54.7555792656 52.6602563693
1 567.2 28.2312873694 72.9831994657
